N,B,replica,time
4,50000,0,246.503722
4,10000,0,48.743618
4,50000,1,246.917416
4,10000,1,48.672049
4,50000,2,247.291857
4,10000,2,48.600684
4,50000,3,246.716690
4,10000,3,48.549877
