Dumbo,,,,
10,0.123569,0.792027,0.422128,0.179581
100,0.122917,0.780928,0.379408,0.160543
250,0.283215,0.879412,0.541485,0.133875
500,0.12676,0.755416,0.389883,0.190149
750,0.877676,1.496878,1.127877,0.737869
1000,1.097777,0.76461,1.122371,0.321375
2500,3.032686,3.641178,3.254572,2.967731
5000,7.553861,8.206181,8.377978,7.466342
7500,11.271392,11.932714,11.526576,
10000,15.220987,15.832859,15.477283,15.09223
25000,,40.305927,39.994387,39.53505
50000,80.935749,81.613677,81.187933,80.825868
75000,121.913876,,122.160575,121.80829
100000,162.632958,163.301646,162.955326,162.53618
,,,,
NONE-SGX,,,,
10,1.1831989288330078,0.7989151477813721,0.446291446685791,0.06803345680236816
100,1.2216832637786865,0.8579647541046143,0.4868760108947754,0.07260394096374512
250,1.1501612663269043,0.8254153728485107,0.4299921989440918,0.07026195526123047
500,1.2281644344329834,0.8296611309051514,0.42661070823669434,0.07608795166015625
750,1.840949535369873,1.4735326766967773,1.0658996105194092,0.6878159046173096
1000,1.6536815166473389,1.2587943077087402,0.8807425498962402,0.4939589500427246
2500,4.33333158493042,3.9675705432891846,3.6230452060699463,3.260530948638916
5000,7.969648122787476,7.555466651916504,7.248577833175659,6.854561805725098
7500,12.233127117156982,11.859636545181274,11.478228092193604,10.983720064163208
10000,16.29989218711853,15.969650506973267,15.557356834411621,15.184927463531494
25000,39.15441870689392,38.8003511428833,38.431718826293945,38.06993556022644
50000,78.59021496772766,78.18039655685425,77.84998321533203,77.46017813682556
75000,117.13425016403198,116.93640112876892,116.5646665096283,116.22343111038208
100000,156.7136673927307,156.3396475315094,155.76108717918396,155.63722038269043
,,,,
